V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
AGG. ASSAULT,ARSON,AUTO THEFT,BURGLARY,COMMON ASSAULT,HOMICIDE,HOMICIDE + SHOOTING,LARCENY,LARCENY FROM AUTO,RAPE,ROBBERY - CARJACKING,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,ROBBERY - STREET,ROBBERY (ALL),SHOOTING,NA
4808,  94,2678,3669,6663, 294, 940,6861,3202, 264, 467, 502, 452,1814,3235, 646,   0
4776,  94,2818,3074,7062, 300, 938,5687,3929, 282, 453, 615, 467,1485,3020, 638,   1
0%,0%,4%,-16%,6%,2%,0%,-16%,24%,8%,-4%,24%,4%,-18%,-8%,0%,Inf
