V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
AGG. ASSAULT,ARSON,AUTO THEFT,BURGLARY,COMMON ASSAULT,HOMICIDE,HOMICIDE + SHOOTING,LARCENY,LARCENY FROM AUTO,RAPE,ROBBERY - CARJACKING,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,ROBBERY - STREET,ROBBERY (ALL),SHOOTING
1470,  28, 989,1378,2315,  84, 254,2612,1242,  69, 145, 188, 216, 763,1312, 170
1479,  27, 865, 852,2153,  97, 282,1856, 836,  76, 113, 148, 128, 454, 843, 185
0%,-4%,-12%,-38%,-8%,16%,12%,-28%,-32%,10%,-22%,-20%,-40%,-40%,-36%,8%
