V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
AGG. ASSAULT,ARSON,AUTO THEFT,BURGLARY,COMMON ASSAULT,HOMICIDE,HOMICIDE + SHOOTING,LARCENY,LARCENY FROM AUTO,RAPE,ROBBERY - CARJACKING,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,ROBBERY - STREET,ROBBERY (ALL),SHOOTING,NA
4667,  92,2580,3563,6462, 286, 916,6632,3072, 255, 440, 482, 441,1759,3122, 630,   0
4593,  91,2694,2957,6780, 291, 912,5484,3737, 271, 439, 576, 444,1434,2893, 621,   1
-2%,0%,4%,-16%,4%,2%,0%,-16%,22%,6%,0%,20%,0%,-18%,-8%,0%,Inf
